,id,sex,has_photo,has_mobile,followers_count,graduation,education_form,relation,education_status,langs,occupation_type,result
37,23515,1,1,1.0,287.0,2009.0,Full-time,7.0,Alumnus (Specialist),Русский,work,1
38,20175,2,0,1.0,54.0,2014.0,Full-time,4.0,Undergraduate applicant,Русский,university,0
39,3980,2,1,1.0,464.0,2011.0,Full-time,1.0,Student (Specialist),Русский,work,1
40,94217,2,1,1.0,62.0,2001.0,Full-time,4.0,Alumnus (Specialist),False,university,0
41,26233,2,0,1.0,78.0,2004.0,Distance Learning,4.0,Student (Specialist),Русский,university,0
42,70250,1,1,1.0,172.0,0.0,Full-time,1.0,Alumnus (Specialist),Русский,university,1
43,47680,2,1,1.0,8.0,2016.0,Full-time,4.0,Alumnus (Bachelor's),Беларуская (тарашкевiца);Русский;English,work,0
44,77890,1,1,1.0,495.0,2021.0,Full-time,0.0,Student (Specialist),Русский;English,university,1
45,96179,1,1,1.0,306.0,2016.0,Distance Learning,0.0,Alumnus (Bachelor's),Русский,university,1
46,18016,2,1,1.0,78.0,2011.0,Full-time,4.0,Alumnus (Specialist),Русский,university,0
47,87091,2,0,1.0,7363.0,2016.0,Full-time,0.0,Alumnus (Bachelor's),English;Русский,university,0
48,55823,1,1,1.0,303.0,2008.0,Full-time,0.0,Alumnus (Specialist),Русский;English,university,1
49,41257,2,0,1.0,162.0,1989.0,Full-time,0.0,Alumnus (Specialist),Русский,university,1
50,77691,1,0,1.0,182.0,1945.0,Full-time,0.0,PhD,Русский,university,1
51,67324,2,0,1.0,20.0,1940.0,Distance Learning,1.0,Undergraduate applicant,False,university,0
52,12891,2,1,1.0,44.0,2003.0,Full-time,0.0,Alumnus (Specialist),Русский,university,1
54,5510,2,1,1.0,438.0,1999.0,Full-time,4.0,Alumnus (Specialist),False,work,1
55,78298,2,1,1.0,151.0,2017.0,Full-time,0.0,Student (Bachelor's),False,university,0
56,43116,1,1,1.0,307.0,2015.0,Full-time,0.0,Student (Master's),Русский,work,1
57,72534,2,0,1.0,133.0,2011.0,Full-time,0.0,Student (Specialist),Русский,university,0
58,93630,1,0,1.0,539.0,2018.0,Full-time,1.0,Student (Master's),False,work,1
59,16449,1,1,1.0,105.0,2010.0,Full-time,4.0,Student (Specialist),Русский;English,work,1
60,38282,2,1,1.0,561.0,2009.0,Distance Learning,0.0,Alumnus (Specialist),Русский,university,1
61,61869,2,0,1.0,580.0,0.0,Full-time,1.0,Student (Bachelor's),Русский;Башҡортса;English;Français,university,1
62,75350,1,0,1.0,19.0,2005.0,Full-time,0.0,Alumnus (Specialist),Русский,university,1
63,33380,2,1,1.0,2314.0,0.0,Part-time,1.0,Student (Specialist),Русский,work,0
64,52374,1,0,1.0,44.0,2011.0,Distance Learning,4.0,Student (Specialist),Русский,work,1
65,5684,1,1,1.0,337.0,2015.0,Full-time,4.0,Student (Specialist),False,university,1
66,18845,1,1,1.0,97.0,0.0,Full-time,1.0,Student (Specialist),Русский,university,1
68,35025,2,0,1.0,370.0,2014.0,Full-time,1.0,Alumnus (Specialist),Русский;English;Українська,university,0
69,62572,1,0,1.0,1313.0,2011.0,Full-time,4.0,Alumnus (Specialist),Русский,university,0
70,36038,1,0,1.0,2269.0,2009.0,Full-time,4.0,Alumnus (Specialist),Русский,university,1
71,88581,2,0,1.0,95.0,2009.0,Full-time,4.0,Student (Specialist),False,work,0
72,35514,1,1,1.0,204.0,2018.0,Full-time,1.0,Student (Specialist),Русский,university,1
73,85413,1,0,1.0,351.0,0.0,Full-time,4.0,Alumnus (Specialist),Русский,university,1
74,37353,2,0,1.0,201.0,2006.0,Full-time,0.0,Alumnus (Master's),Русский,university,0
75,53508,1,0,1.0,116.0,2006.0,Distance Learning,0.0,Alumnus (Specialist),False,university,1
76,52046,2,1,1.0,127.0,2014.0,Full-time,1.0,Student (Master's),False,university,1
78,98970,2,1,1.0,73.0,2005.0,Full-time,4.0,Alumnus (Specialist),False,university,0
79,87638,1,1,1.0,634.0,2013.0,Distance Learning,0.0,Alumnus (Master's),False,university,1
80,58149,1,1,1.0,1191.0,2012.0,Full-time,4.0,Alumnus (Master's),False,university,1
81,57264,2,1,1.0,110.0,2013.0,Full-time,0.0,Alumnus (Specialist),Русский;English;Français,work,1
82,19096,2,1,1.0,72.0,2015.0,Full-time,0.0,Alumnus (Bachelor's),False,work,0
83,19695,2,0,1.0,154.0,2014.0,Full-time,1.0,Student (Specialist),Русский,university,0
85,22842,2,0,1.0,401.0,2011.0,Full-time,1.0,Student (Specialist),Русский,university,0
86,67212,1,1,1.0,145.0,2013.0,Full-time,0.0,Student (Specialist),False,university,1
87,87442,2,1,1.0,186.0,0.0,Full-time,1.0,Student (Specialist),Русский,work,0
88,45108,2,1,1.0,85.0,2009.0,Full-time,0.0,Alumnus (Specialist),Русский,university,0
89,92434,1,1,1.0,148.0,2007.0,Full-time,4.0,Alumnus (Specialist),False,university,1
90,17858,2,1,1.0,126.0,0.0,Full-time,0.0,Student (Specialist),False,university,0
91,39531,1,1,1.0,783.0,2012.0,Part-time,0.0,Alumnus (Bachelor's),Русский,university,1
92,40254,1,0,1.0,28.0,2000.0,Full-time,4.0,Alumnus (Specialist),Русский,university,0
93,10872,2,1,0.0,153.0,2010.0,Full-time,4.0,Alumnus (Specialist),Українська,work,0
94,18411,2,1,1.0,343.0,2015.0,Full-time,0.0,Alumnus (Specialist),Русский,work,0
95,22995,2,1,1.0,56.0,2005.0,Full-time,0.0,Alumnus (Master's),Русский,work,1
96,95523,1,0,1.0,518.0,0.0,Distance Learning,4.0,Student (Specialist),Русский,university,1
97,43200,2,1,1.0,104.0,2015.0,Distance Learning,1.0,Student (Bachelor's),Русский,university,0
98,26362,2,1,1.0,624.0,2011.0,Full-time,0.0,Alumnus (Bachelor's),Русский,university,0
99,22756,2,1,1.0,200.0,2003.0,Full-time,4.0,Alumnus (Specialist),Русский,work,0
100,5963,2,0,1.0,373.0,2016.0,Full-time,0.0,Alumnus (Bachelor's),Русский,university,0
101,90120,1,1,1.0,1292.0,2005.0,Full-time,0.0,Alumnus (Master's),Русский,work,1
102,88313,2,1,1.0,247.0,2008.0,Part-time,1.0,Alumnus (Specialist),Русский,university,0
103,75706,2,1,1.0,174.0,2007.0,Full-time,1.0,Alumnus (Master's),Русский,work,0
104,30503,2,0,1.0,192.0,2017.0,Full-time,0.0,Student (Bachelor's),Русский;English;Français,university,0
105,46820,2,0,1.0,38.0,2000.0,Full-time,0.0,Alumnus (Specialist),False,university,1
106,5879,1,1,1.0,25.0,2009.0,Distance Learning,5.0,Alumnus (Specialist),False,university,1
107,95777,2,0,0.0,91.0,2014.0,Full-time,0.0,PhD,Абаза Бызшва,university,0
108,99675,2,1,1.0,43.0,2008.0,Full-time,4.0,Alumnus (Specialist),Русский,university,0
109,82283,1,0,1.0,257.0,2013.0,Distance Learning,0.0,Student (Bachelor's),Русский;Deutsch;English,university,1
110,13213,1,1,1.0,155.0,2016.0,Full-time,1.0,Alumnus (Bachelor's),False,university,1
111,71332,1,0,1.0,1629.0,2014.0,Full-time,0.0,Student (Specialist),False,work,1
113,35957,1,0,1.0,530.0,2011.0,Distance Learning,0.0,Student (Specialist),Русский,university,1
114,20691,2,1,1.0,50.0,2015.0,Distance Learning,4.0,Alumnus (Specialist),Русский,university,0
115,50464,1,0,1.0,130.0,2013.0,Distance Learning,4.0,Alumnus (Specialist),False,work,1
116,33741,2,1,1.0,42.0,2013.0,Full-time,4.0,Student (Bachelor's),Русский,university,0
117,35050,2,1,1.0,358.0,2018.0,Full-time,0.0,Student (Specialist),Русский,work,0
118,1819,2,0,1.0,53.0,2007.0,Full-time,4.0,Alumnus (Specialist),Русский,work,1
119,78358,1,0,1.0,104.0,2003.0,Part-time,4.0,Alumnus (Specialist),False,university,1
120,22846,1,0,1.0,767.0,2003.0,Full-time,4.0,Alumnus (Specialist),Русский,work,1
121,36651,2,1,1.0,7.0,2007.0,Full-time,0.0,Alumnus (Master's),Русский,university,0
122,12326,1,1,1.0,279.0,2012.0,Full-time,4.0,Student (Specialist),False,work,1
124,17757,1,1,1.0,869.0,2011.0,Distance Learning,0.0,Alumnus (Specialist),Русский,university,1
125,65285,2,1,1.0,80.0,2011.0,Full-time,4.0,Student (Bachelor's),Русский,work,1
126,49096,1,1,1.0,623.0,0.0,Full-time,4.0,Student (Specialist),Русский,university,1
127,22310,2,0,1.0,94.0,2011.0,Distance Learning,0.0,Student (Bachelor's),Русский,university,0
129,41578,1,0,1.0,217.0,2001.0,Full-time,4.0,Alumnus (Specialist),Русский,university,1
130,8751,2,1,1.0,81.0,2005.0,Full-time,4.0,Alumnus (Specialist),Русский,work,0
131,83843,2,1,1.0,95.0,2003.0,Full-time,4.0,Alumnus (Master's),Русский,university,0
132,18367,2,1,1.0,82.0,2014.0,Full-time,4.0,Student (Specialist),False,university,0
133,48331,2,1,1.0,62.0,0.0,Full-time,0.0,Undergraduate applicant,Русский,university,0
134,23442,1,1,1.0,323.0,2016.0,Full-time,0.0,Alumnus (Specialist),False,work,1
136,28635,2,0,1.0,180.0,0.0,Full-time,0.0,Alumnus (Bachelor's),Русский;English;Español,university,1
137,54995,1,0,1.0,339.0,2016.0,Full-time,4.0,Student (Bachelor's),Русский;English,work,1
140,52035,1,0,1.0,40.0,2002.0,Full-time,0.0,Alumnus (Specialist),Русский,university,1
141,28312,2,0,1.0,190.0,2013.0,Full-time,1.0,Alumnus (Specialist),Русский;English;Deutsch,university,0
142,89424,1,0,1.0,975.0,2014.0,Full-time,0.0,Alumnus (Specialist),Русский;English,work,1
143,31961,2,1,1.0,83.0,0.0,Distance Learning,7.0,Alumnus (Bachelor's),Русский,work,0
144,41819,1,0,1.0,1960.0,2015.0,Distance Learning,1.0,Alumnus (Specialist),Русский,university,1
145,75186,2,1,1.0,33.0,2000.0,Distance Learning,1.0,Alumnus (Specialist),Русский,university,0
146,52101,1,1,1.0,225.0,0.0,Full-time,4.0,Student (Bachelor's),Русский;English,university,1
147,88270,2,0,1.0,215.0,2011.0,Full-time,0.0,Alumnus (Specialist),Русский;English;Deutsch;Лакку маз,university,1
148,49379,2,1,1.0,578.0,2007.0,Full-time,4.0,Alumnus (Specialist),Русский;Українська;English,work,0
149,82576,1,1,1.0,146.0,2014.0,Full-time,0.0,Student (Specialist),Русский;English;Italiano,university,1
151,24851,2,0,1.0,24.0,2010.0,Full-time,4.0,Undergraduate applicant,Русский,university,0
152,3624,2,0,1.0,252.0,2016.0,Distance Learning,7.0,Student (Specialist),Русский,university,1
153,37815,1,0,1.0,1772.0,2010.0,Full-time,4.0,Alumnus (Specialist),Русский,work,1
154,65432,1,1,1.0,4588.0,2010.0,Full-time,4.0,Student (Specialist),Русский,work,1
155,27578,2,0,1.0,333.0,2015.0,Full-time,2.0,Alumnus (Specialist),Русский;English,work,1
156,7134,2,1,1.0,65.0,2005.0,Full-time,0.0,Alumnus (Master's),Русский,university,0
158,71221,1,1,1.0,215.0,0.0,Full-time,0.0,Student (Bachelor's),Русский,work,1
159,98612,2,0,1.0,217.0,2012.0,Full-time,1.0,Student (Specialist),Русский,university,0
160,79121,1,0,1.0,41.0,0.0,Full-time,0.0,Alumnus (Specialist),False,university,1
161,41360,1,0,1.0,22.0,2000.0,Part-time,0.0,Alumnus (Specialist),Русский,university,1
162,98475,2,0,1.0,115.0,2005.0,Full-time,0.0,Alumnus (Specialist),Русский,work,1
163,53965,2,1,1.0,75.0,2016.0,Full-time,0.0,Alumnus (Specialist),Русский;English,university,0
164,76300,2,0,1.0,1003.0,2016.0,Distance Learning,0.0,Student (Specialist),Русский,university,0
165,74046,1,0,1.0,512.0,0.0,Full-time,4.0,Student (Bachelor's),Русский,work,1
166,31246,2,0,1.0,540.0,2017.0,Part-time,4.0,Student (Specialist),Русский,work,0
167,60397,1,0,1.0,997.0,2016.0,Full-time,0.0,Alumnus (Bachelor's),Русский,university,1
168,842,2,0,1.0,116.0,2012.0,Full-time,0.0,Alumnus (Master's),Русский,university,0
169,45623,2,1,1.0,245.0,2011.0,Full-time,1.0,Alumnus (Bachelor's),Українська;Русский;English,university,0
170,92417,2,0,1.0,352.0,2013.0,Distance Learning,4.0,Student (Specialist),Русский,university,0
171,32357,1,1,1.0,2655.0,2014.0,Full-time,7.0,Alumnus (Bachelor's),False,university,1
172,38108,2,1,1.0,89.0,2007.0,Full-time,0.0,Alumnus (Specialist),Русский,university,0
173,1640,1,1,1.0,153.0,2014.0,Full-time,0.0,Alumnus (Master's),False,university,1
174,87028,1,0,1.0,171.0,1992.0,Full-time,4.0,Alumnus (Specialist),Русский,university,1
175,66608,2,1,1.0,101.0,2009.0,Full-time,1.0,Alumnus (Specialist),Русский,work,0
176,92423,1,1,1.0,214.0,2014.0,Distance Learning,0.0,Alumnus (Specialist),Русский,university,0
177,49341,2,1,1.0,5.0,1977.0,Full-time,4.0,Alumnus (Specialist),Русский,university,1
178,46414,2,1,1.0,34.0,2009.0,Part-time,4.0,Alumnus (Specialist),False,university,0
179,83859,1,1,1.0,295.0,2013.0,Distance Learning,4.0,Alumnus (Specialist),False,work,1
180,65682,1,0,1.0,180.0,2012.0,Part-time,4.0,Student (Specialist),Русский,university,1
182,33855,2,0,1.0,190.0,2013.0,Distance Learning,4.0,Student (Specialist),Русский,work,0
183,60553,2,1,1.0,374.0,2017.0,Part-time,0.0,Alumnus (Specialist),Русский,university,0
185,48642,2,0,1.0,139.0,2004.0,Full-time,4.0,Alumnus (Specialist),Русский,university,0
186,30308,1,0,1.0,922.0,2014.0,Full-time,1.0,Student (Specialist),Русский;English;Français,work,0
187,86417,2,0,1.0,245.0,2012.0,Full-time,7.0,Alumnus (Specialist),Русский;English,university,1
188,43546,1,1,1.0,300.0,2016.0,Full-time,1.0,Student (Bachelor's),Українська;Русский,university,1
189,69668,1,0,1.0,366.0,2011.0,Full-time,0.0,Student (Specialist),False,university,1
190,19928,1,1,1.0,846.0,2016.0,Full-time,1.0,Student (Bachelor's),Русский;English,work,1
193,85702,2,0,1.0,63.0,2006.0,Full-time,1.0,Alumnus (Specialist),Русский;English,university,0
194,11247,1,1,1.0,1116.0,0.0,Full-time,0.0,Student (Specialist),False,university,1
195,80384,2,0,1.0,207.0,2021.0,Full-time,0.0,Alumnus (Bachelor's),Русский;English,university,0
196,26275,2,1,1.0,172.0,2007.0,Full-time,4.0,Alumnus (Bachelor's),Русский;Українська;Polski,work,0
197,56391,1,0,1.0,1741.0,0.0,Full-time,0.0,Student (Specialist),Русский,work,1
198,18063,2,1,1.0,39.0,2001.0,Full-time,4.0,Student (Specialist),Русский,university,0
199,39693,2,0,1.0,245.0,2006.0,Full-time,1.0,Alumnus (Specialist),Русский,university,0
200,3573,1,0,1.0,19010.0,2013.0,Full-time,0.0,Alumnus (Specialist),False,university,1
201,94007,1,1,1.0,47.0,1993.0,Full-time,4.0,Alumnus (Bachelor's),Русский;English,work,1
202,55321,1,0,1.0,561.0,2019.0,Full-time,1.0,Alumnus (Specialist),False,work,1
203,57953,1,0,1.0,38.0,2007.0,Distance Learning,0.0,Alumnus (Specialist),False,university,1
205,25367,2,0,1.0,17.0,2006.0,Full-time,4.0,Alumnus (Specialist),Русский,university,0
207,30207,2,0,1.0,274.0,2013.0,Full-time,7.0,Student (Bachelor's),Русский,work,1
208,96758,2,0,1.0,65.0,0.0,Full-time,4.0,Undergraduate applicant,False,university,0
209,79562,1,1,1.0,278.0,2011.0,Full-time,1.0,Alumnus (Master's),Русский,university,1
210,34661,1,0,1.0,835.0,2009.0,Full-time,1.0,Alumnus (Specialist),False,university,1
211,86107,2,0,1.0,7.0,2011.0,Distance Learning,4.0,Student (Specialist),False,work,0
212,33442,2,0,1.0,82.0,2013.0,Distance Learning,4.0,Alumnus (Bachelor's),False,work,1
213,69303,1,1,1.0,1040.0,2010.0,Full-time,1.0,Student (Specialist),Русский,university,1
214,24356,1,1,1.0,654.0,2012.0,Full-time,8.0,Student (Specialist),Русский,work,1
215,79962,1,1,1.0,415.0,2012.0,Distance Learning,4.0,Alumnus (Specialist),False,work,1
216,74365,2,0,1.0,552.0,2019.0,Full-time,2.0,Alumnus (Bachelor's),Русский;Українська;English,university,1
218,74441,2,1,1.0,881.0,2013.0,Full-time,0.0,Student (Specialist),Русский;English,work,1
219,53473,2,0,1.0,141.0,2006.0,Full-time,4.0,Alumnus (Specialist),Русский,university,0
220,76940,2,1,1.0,3212.0,1988.0,Full-time,0.0,Alumnus (Master's),False,university,1
221,20690,2,0,1.0,162.0,2016.0,Full-time,0.0,Student (Bachelor's),Русский;English,university,1
223,73102,1,1,1.0,616.0,2011.0,Full-time,0.0,Alumnus (Specialist),Русский,university,1
224,80822,1,1,1.0,1706.0,2014.0,Full-time,4.0,Alumnus (Specialist),Русский,work,1
225,67419,2,1,1.0,553.0,0.0,Full-time,0.0,Candidate of Sciences,Српски;Deutsch;Español;日本語,work,0
226,86559,1,0,1.0,104.0,2007.0,Full-time,0.0,Alumnus (Specialist),Русский,university,1
227,52465,1,0,1.0,697.0,2012.0,Full-time,4.0,Student (Specialist),Русский,university,1
228,64437,2,0,1.0,14.0,2011.0,Full-time,1.0,Student (Specialist),False,university,1
229,62796,1,0,1.0,320.0,0.0,Full-time,4.0,Alumnus (Bachelor's),Русский;English;Español;Français,university,1
230,30908,1,0,1.0,732.0,2012.0,Full-time,7.0,Student (Bachelor's),Українська;English;Русский,university,1
231,45460,2,0,1.0,35.0,2014.0,Full-time,0.0,Undergraduate applicant,False,university,1
232,95066,2,1,1.0,127.0,2014.0,Full-time,0.0,Student (Specialist),False,university,0
233,12369,2,1,1.0,233.0,2013.0,Full-time,4.0,Student (Specialist),False,university,0
234,73356,2,1,1.0,42.0,2018.0,Full-time,1.0,Undergraduate applicant,Русский;Українська;Deutsch;English,work,0
235,8690,2,0,1.0,178.0,0.0,Full-time,6.0,Alumnus (Specialist),Русский;English,university,0
236,20718,1,1,1.0,105.0,2011.0,Full-time,0.0,Alumnus (Specialist),Русский;English;Հայերեն;Français,university,1
237,93515,2,0,1.0,110.0,2016.0,Full-time,0.0,Student (Bachelor's),Русский,university,0
238,5772,2,0,1.0,116.0,2011.0,Full-time,0.0,Student (Master's),Русский,work,0
239,94553,2,1,1.0,152.0,2016.0,Full-time,4.0,Student (Specialist),Русский;English;Адыгэбзэ,university,0
240,98103,1,1,1.0,183.0,0.0,Full-time,0.0,Alumnus (Specialist),False,university,1
241,39215,1,1,1.0,743.0,2011.0,Full-time,0.0,Alumnus (Bachelor's),False,university,1
242,2182,2,1,1.0,80.0,2014.0,Full-time,8.0,Student (Bachelor's),Українська;English;Русский;Polski;한국어,university,0
244,67153,1,1,1.0,465.0,2003.0,Full-time,0.0,Alumnus (Master's),Русский,work,1
245,59272,2,1,1.0,46.0,2009.0,Full-time,4.0,Alumnus (Master's),Русский,work,1
246,38551,1,0,1.0,234.0,2015.0,Full-time,0.0,Alumnus (Bachelor's),Русский,university,1
248,80432,2,1,1.0,1530.0,2010.0,Full-time,0.0,Alumnus (Bachelor's),Русский;English,work,1
250,32555,1,0,1.0,275.0,2014.0,Full-time,4.0,Alumnus (Specialist),Русский,university,1
251,88543,2,0,1.0,220.0,2012.0,Full-time,4.0,Student (Specialist),Русский,work,0
252,52836,2,1,1.0,164.0,2014.0,Full-time,4.0,Student (Specialist),Русский,university,0
253,7707,2,0,1.0,946.0,2016.0,Full-time,4.0,Student (Bachelor's),Русский,university,0
255,5796,1,1,1.0,108.0,2009.0,Full-time,1.0,Alumnus (Specialist),False,university,1
256,1660,1,1,1.0,236.0,2008.0,Full-time,0.0,Alumnus (Specialist),Русский;English,university,1
257,73506,2,0,1.0,121.0,2007.0,Full-time,4.0,Alumnus (Master's),Русский,work,1
259,52356,2,1,1.0,43.0,2015.0,Full-time,4.0,Student (Master's),Русский,university,0
260,13786,1,0,1.0,552.0,2009.0,Distance Learning,4.0,Alumnus (Specialist),Русский,work,1
261,92519,1,0,1.0,524.0,2011.0,Part-time,0.0,Alumnus (Specialist),False,university,1
263,99128,2,0,1.0,558.0,2006.0,Full-time,0.0,Alumnus (Specialist),False,work,1
264,77858,2,0,1.0,424.0,2014.0,Distance Learning,6.0,Student (Specialist),Русский,university,0
265,79151,2,0,1.0,243.0,2009.0,Distance Learning,1.0,Alumnus (Specialist),Русский;English,university,0
266,90348,2,0,1.0,574.0,0.0,Full-time,7.0,Student (Bachelor's),False,university,0
267,4907,1,0,1.0,1021.0,2012.0,Full-time,4.0,Alumnus (Specialist),Русский;English;Italiano,university,1
268,18898,1,0,1.0,537.0,2008.0,Full-time,0.0,Alumnus (Master's),Русский,work,1
269,49625,2,0,1.0,112.0,2008.0,Full-time,0.0,Alumnus (Specialist),Русский,university,0
270,46463,1,0,1.0,653.0,2018.0,Full-time,0.0,Student (Master's),Русский,university,1
271,43181,2,0,0.0,34.0,0.0,Distance Learning,0.0,Student (Specialist),Русский,university,1
272,64721,2,0,1.0,336.0,2010.0,Full-time,0.0,Alumnus (Specialist),Русский,work,0
273,28123,2,1,1.0,114.0,0.0,Full-time,1.0,Student (Specialist),Русский,university,0
274,65796,2,0,1.0,47.0,2010.0,Full-time,7.0,Alumnus (Bachelor's),Русский;English;Українська,university,0
275,66122,1,1,1.0,175.0,2008.0,Full-time,0.0,Alumnus (Specialist),Русский,university,1
276,32170,1,1,1.0,1014.0,0.0,Full-time,5.0,Alumnus (Specialist),Русский,university,1
278,17226,2,1,1.0,18087.0,2012.0,Full-time,1.0,Student (Specialist),Русский,work,1
279,36931,2,0,1.0,83.0,2009.0,Full-time,4.0,Alumnus (Master's),False,university,0
280,93735,2,0,1.0,174.0,0.0,Full-time,4.0,Alumnus (Specialist),Русский,university,0
281,82048,1,1,1.0,485.0,2018.0,Full-time,4.0,Student (Specialist),Русский,university,1
282,89390,1,1,1.0,159.0,2017.0,Full-time,4.0,Alumnus (Bachelor's),Русский,university,1
283,78823,1,0,1.0,986.0,2008.0,Full-time,1.0,Alumnus (Specialist),False,university,1
284,52448,1,0,1.0,286.0,2010.0,Full-time,0.0,Alumnus (Specialist),False,university,1
285,58243,2,0,1.0,58.0,2004.0,Full-time,4.0,Alumnus (Specialist),False,university,0
286,27721,1,0,1.0,211.0,2011.0,Full-time,4.0,Student (Specialist),Русский,university,1
287,53352,1,1,1.0,4565.0,0.0,Full-time,0.0,Candidate of Sciences,False,university,1
288,40921,2,1,1.0,3356.0,2009.0,Full-time,4.0,Student (Bachelor's),Русский,work,0
289,18123,1,0,1.0,338.0,2012.0,Full-time,0.0,Student (Specialist),Русский,university,1
290,35994,2,1,1.0,479.0,2014.0,Full-time,3.0,PhD,Русский,work,0
291,73450,2,0,1.0,1409.0,2019.0,Full-time,0.0,Alumnus (Specialist),Русский;English,university,1
292,1009,1,1,1.0,379.0,2017.0,Full-time,0.0,Student (Specialist),Русский;English;Lingua Latina;Deutsch,university,1
294,3302,2,1,1.0,25.0,2005.0,Full-time,0.0,Alumnus (Bachelor's),False,work,0
295,12018,1,0,1.0,422.0,0.0,Full-time,0.0,Student (Bachelor's),Русский;Български,university,1
296,65398,1,1,1.0,231.0,2016.0,Part-time,4.0,Alumnus (Bachelor's),False,work,1
298,7494,2,1,1.0,103.0,0.0,Full-time,0.0,Student (Specialist),False,university,0
299,91787,1,0,1.0,384.0,2009.0,Full-time,4.0,Alumnus (Specialist),False,work,1
300,64914,2,0,1.0,18.0,0.0,Distance Learning,4.0,Student (Bachelor's),False,university,0
301,83368,2,0,1.0,268.0,0.0,Part-time,7.0,Student (Bachelor's),Русский,university,0
302,97212,1,1,1.0,230.0,2017.0,Full-time,4.0,Student (Bachelor's),Русский;English,work,1
303,48600,2,0,1.0,97.0,2012.0,Full-time,1.0,Student (Specialist),Русский,university,1
304,78454,2,0,1.0,171.0,0.0,Part-time,0.0,Student (Bachelor's),Русский;English;汉语,work,1
305,75110,2,0,1.0,243.0,2008.0,Full-time,0.0,Alumnus (Specialist),Русский,university,1
307,93987,2,0,1.0,38.0,1993.0,Part-time,0.0,Alumnus (Specialist),False,university,1
308,1475,1,0,1.0,273.0,2013.0,Part-time,0.0,Student (Specialist),Русский,university,0
309,84877,1,0,1.0,1287.0,0.0,Full-time,0.0,Alumnus (Master's),Русский;English;Українська;Български;Español,university,1
