,bdate,education_form,relation,education_status,langs,occupation_type,career_start,career_end,result
33,26.4.1955,Full-time,0.0,Alumnus (Specialist),Русский,university,1984,2009,1
34,27.9,Full-time,0.0,Student (Specialist),Русский;English,university,False,False,1
35,,Full-time,6.0,Student (Specialist),Русский,university,False,False,0
36,6.10.1994,Full-time,4.0,Student (Bachelor's),Русский;Deutsch;English,university,False,False,1
37,3.12,Full-time,7.0,Alumnus (Specialist),Русский,work,2009,False,1
38,8.10.1981,Full-time,4.0,Undergraduate applicant,Русский,university,False,False,0
39,13.3.1989,Full-time,1.0,Student (Specialist),Русский,work,2007,2021,1
40,12.9.1978,Full-time,4.0,Alumnus (Specialist),False,university,False,False,0
41,13.3,Distance Learning,4.0,Student (Specialist),Русский,university,False,False,0
42,30.9,Full-time,1.0,Alumnus (Specialist),Русский,university,False,False,1
43,,Full-time,4.0,Alumnus (Bachelor's),Беларуская (тарашкевiца);Русский;English,work,2015,False,0
44,12.7,Full-time,0.0,Student (Specialist),Русский;English,university,False,False,1
45,24.9.1992,Distance Learning,0.0,Alumnus (Bachelor's),Русский,university,False,False,1
46,4.5.1984,Full-time,4.0,Alumnus (Specialist),Русский,university,False,False,0
47,21.4,Full-time,0.0,Alumnus (Bachelor's),English;Русский,university,False,False,0
48,30.12,Full-time,0.0,Alumnus (Specialist),Русский;English,university,False,False,1
49,23.12,Full-time,0.0,Alumnus (Specialist),Русский,university,False,False,1
50,20.7.1927,Full-time,0.0,PhD,Русский,university,False,False,1
51,6.9.1989,Distance Learning,1.0,Undergraduate applicant,False,university,False,False,0
52,,Full-time,0.0,Alumnus (Specialist),Русский,university,2006,2006,1
53,23.4.1991,Full-time,2.0,Student (Specialist),Русский;Татарча,,False,False,0
54,15.2.1976,Full-time,4.0,Alumnus (Specialist),False,work,2002,False,1
55,,Full-time,0.0,Student (Bachelor's),False,university,False,False,0
56,,Full-time,0.0,Student (Master's),Русский,work,False,False,1
57,3.3.1989,Full-time,0.0,Student (Specialist),Русский,university,False,False,0
58,26.1.1995,Full-time,1.0,Student (Master's),False,work,False,False,1
59,14.10.1988,Full-time,4.0,Student (Specialist),Русский;English,work,False,False,1
60,17.6,Distance Learning,0.0,Alumnus (Specialist),Русский,university,False,False,1
61,9.1.1993,Full-time,1.0,Student (Bachelor's),Русский;Башҡортса;English;Français,university,2013,2015,1
62,,Full-time,0.0,Alumnus (Specialist),Русский,university,False,False,1
63,,Part-time,1.0,Student (Specialist),Русский,work,2017,False,0
64,17.6.1982,Distance Learning,4.0,Student (Specialist),Русский,work,2008,False,1
65,18.11.1992,Full-time,4.0,Student (Specialist),False,university,False,False,1
66,21.8,Full-time,1.0,Student (Specialist),Русский,university,False,False,1
67,16.10.1990,Full-time,4.0,Alumnus (Specialist),Русский,,False,False,1
68,,Full-time,1.0,Alumnus (Specialist),Русский;English;Українська,university,2007,2016,0
69,14.3,Full-time,4.0,Alumnus (Specialist),Русский,university,2011,2018,0
70,11.11.1987,Full-time,4.0,Alumnus (Specialist),Русский,university,False,False,1
71,8.2.1990,Full-time,4.0,Student (Specialist),False,work,2009,False,0
72,4.10.1995,Full-time,1.0,Student (Specialist),Русский,university,False,False,1
73,22.6,Full-time,4.0,Alumnus (Specialist),Русский,university,2003,2010,1
74,19.1.1984,Full-time,0.0,Alumnus (Master's),Русский,university,False,False,0
75,23.6,Distance Learning,0.0,Alumnus (Specialist),False,university,False,False,1
76,11.5.1991,Full-time,1.0,Student (Master's),False,university,False,False,1
77,20.1,Full-time,1.0,Alumnus (Master's),Русский,,False,False,0
78,20.2.1983,Full-time,4.0,Alumnus (Specialist),False,university,False,False,0
79,23.11,Distance Learning,0.0,Alumnus (Master's),False,university,False,False,1
80,24.1,Full-time,4.0,Alumnus (Master's),False,university,False,False,1
81,26.6.1990,Full-time,0.0,Alumnus (Specialist),Русский;English;Français,work,2012,False,1
82,9.5.1993,Full-time,0.0,Alumnus (Bachelor's),False,work,2017,False,0
83,9.4.1992,Full-time,1.0,Student (Specialist),Русский,university,False,False,0
84,,,0.0,Alumnus (Master's),Українська;Русский;English,university,False,False,0
85,10.2.1989,Full-time,1.0,Student (Specialist),Русский,university,False,False,0
86,7.5,Full-time,0.0,Student (Specialist),False,university,False,False,1
87,20.2.1986,Full-time,1.0,Student (Specialist),Русский,work,1986,False,0
88,13.7.1986,Full-time,0.0,Alumnus (Specialist),Русский,university,False,False,0
89,30.11.1985,Full-time,4.0,Alumnus (Specialist),False,university,False,False,1
90,18.1.1986,Full-time,0.0,Student (Specialist),False,university,2007,2008,0
91,9.6.1981,Part-time,0.0,Alumnus (Bachelor's),Русский,university,False,False,1
92,,Full-time,4.0,Alumnus (Specialist),Русский,university,False,False,0
93,6.12,Full-time,4.0,Alumnus (Specialist),Українська,work,False,False,0
94,23.4,Full-time,0.0,Alumnus (Specialist),Русский,work,2018,False,0
95,12.8.1983,Full-time,0.0,Alumnus (Master's),Русский,work,2014,False,1
96,17.8.1992,Distance Learning,4.0,Student (Specialist),Русский,university,False,False,1
97,12.9.1991,Distance Learning,1.0,Student (Bachelor's),Русский,university,2009,2009,0
98,11.1.1989,Full-time,0.0,Alumnus (Bachelor's),Русский,university,False,False,0
99,,Full-time,4.0,Alumnus (Specialist),Русский,work,2003,False,0
100,,Full-time,0.0,Alumnus (Bachelor's),Русский,university,False,False,0
101,5.8.1984,Full-time,0.0,Alumnus (Master's),Русский,work,2004,False,1
102,31.5.1985,Part-time,1.0,Alumnus (Specialist),Русский,university,False,False,0
103,1.12.1984,Full-time,1.0,Alumnus (Master's),Русский,work,2004,False,0
104,14.12,Full-time,0.0,Student (Bachelor's),Русский;English;Français,university,False,False,0
105,,Full-time,0.0,Alumnus (Specialist),False,university,False,False,1
106,14.8.1982,Distance Learning,5.0,Alumnus (Specialist),False,university,False,False,1
107,1.8.1914,Full-time,0.0,PhD,Абаза Бызшва,university,2013,2014,0
108,3.7.1986,Full-time,4.0,Alumnus (Specialist),Русский,university,False,False,0
109,15.3.1992,Distance Learning,0.0,Student (Bachelor's),Русский;Deutsch;English,university,False,False,1
110,15.4.1994,Full-time,1.0,Alumnus (Bachelor's),False,university,False,False,1
111,13.10,Full-time,0.0,Student (Specialist),False,work,2013,False,1
112,5.3.1984,,4.0,Alumnus (Specialist),Русский;English;Чăвашла,work,2020,False,0
113,3.8.1989,Distance Learning,0.0,Student (Specialist),Русский,university,False,False,1
114,7.7.1983,Distance Learning,4.0,Alumnus (Specialist),Русский,university,False,False,0
115,8.7.1991,Distance Learning,4.0,Alumnus (Specialist),False,work,2011,False,1
116,,Full-time,4.0,Student (Bachelor's),Русский,university,False,False,0
117,18.3.1995,Full-time,0.0,Student (Specialist),Русский,work,1995,False,0
118,4.3,Full-time,4.0,Alumnus (Specialist),Русский,work,2007,False,1
119,4.8.1980,Part-time,4.0,Alumnus (Specialist),False,university,False,False,1
120,1.8.1980,Full-time,4.0,Alumnus (Specialist),Русский,work,2018,False,1
121,30.8.1990,Full-time,0.0,Alumnus (Master's),Русский,university,False,False,0
122,6.7.1991,Full-time,4.0,Student (Specialist),False,work,False,False,1
123,5.12.1993,,4.0,Alumnus (Master's),False,university,False,False,1
124,17.5,Distance Learning,0.0,Alumnus (Specialist),Русский,university,False,False,1
125,29.4,Full-time,4.0,Student (Bachelor's),Русский,work,2001,False,1
126,11.12,Full-time,4.0,Student (Specialist),Русский,university,False,False,1
127,28.8,Distance Learning,0.0,Student (Bachelor's),Русский,university,2010,2011,0
128,25.9.1985,,0.0,Alumnus (Specialist),Русский;English;Français;Svenska;हिन्दी;Словѣ́ньскъ,work,2004,False,1
129,6.7,Full-time,4.0,Alumnus (Specialist),Русский,university,2001,2013,1
130,13.7.1984,Full-time,4.0,Alumnus (Specialist),Русский,work,2007,False,0
131,17.10,Full-time,4.0,Alumnus (Master's),Русский,university,2014,False,0
132,,Full-time,4.0,Student (Specialist),False,university,False,False,0
133,14.2,Full-time,0.0,Undergraduate applicant,Русский,university,False,False,0
134,27.3,Full-time,0.0,Alumnus (Specialist),False,work,2015,False,1
135,5.12.1987,Full-time,0.0,Student (Bachelor's),False,,False,False,1
136,,Full-time,0.0,Alumnus (Bachelor's),Русский;English;Español,university,False,False,1
137,27.8.1994,Full-time,4.0,Student (Bachelor's),Русский;English,work,2018,False,1
138,,Full-time,0.0,Alumnus (Specialist),False,,False,False,1
139,23.1.1992,,4.0,Alumnus (Specialist),Русский,university,False,False,1
140,25.9,Full-time,0.0,Alumnus (Specialist),Русский,university,2002,2014,1
141,,Full-time,1.0,Alumnus (Specialist),Русский;English;Deutsch,university,False,False,0
142,6.1,Full-time,0.0,Alumnus (Specialist),Русский;English,work,2013,False,1
143,6.9.1996,Distance Learning,7.0,Alumnus (Bachelor's),Русский,work,False,False,0
144,10.9.1990,Distance Learning,1.0,Alumnus (Specialist),Русский,university,False,False,1
145,19.8.1976,Distance Learning,1.0,Alumnus (Specialist),Русский,university,False,False,0
146,24.5.1994,Full-time,4.0,Student (Bachelor's),Русский;English,university,False,False,1
147,13.12.1989,Full-time,0.0,Alumnus (Specialist),Русский;English;Deutsch;Лакку маз,university,False,False,1
148,16.6.1984,Full-time,4.0,Alumnus (Specialist),Русский;Українська;English,work,2007,False,0
149,23.11.1992,Full-time,0.0,Student (Specialist),Русский;English;Italiano,university,False,False,1
150,3.4.1992,,4.0,Student (Bachelor's),Русский,university,False,False,0
151,25.6.1990,Full-time,4.0,Undergraduate applicant,Русский,university,False,False,0
152,5.11.1990,Distance Learning,7.0,Student (Specialist),Русский,university,False,False,1
153,20.2.1987,Full-time,4.0,Alumnus (Specialist),Русский,work,2019,False,1
154,12.5,Full-time,4.0,Student (Specialist),Русский,work,False,False,1
155,16.9.1989,Full-time,2.0,Alumnus (Specialist),Русский;English,work,2015,False,1
156,11.6,Full-time,0.0,Alumnus (Master's),Русский,university,False,False,0
157,31.3,,4.0,Alumnus (Specialist),Русский,work,False,False,1
158,12.11,Full-time,0.0,Student (Bachelor's),Русский,work,2018,False,1
159,12.4.1990,Full-time,1.0,Student (Specialist),Русский,university,False,False,0
160,,Full-time,0.0,Alumnus (Specialist),False,university,False,False,1
161,5.11,Part-time,0.0,Alumnus (Specialist),Русский,university,False,False,1
162,16.12.1981,Full-time,0.0,Alumnus (Specialist),Русский,work,False,False,1
163,,Full-time,0.0,Alumnus (Specialist),Русский;English,university,False,False,0
164,14.4.1994,Distance Learning,0.0,Student (Specialist),Русский,university,False,False,0
165,15.5,Full-time,4.0,Student (Bachelor's),Русский,work,2013,False,1
166,14.10.1993,Part-time,4.0,Student (Specialist),Русский,work,2015,False,0
167,4.3,Full-time,0.0,Alumnus (Bachelor's),Русский,university,False,False,1
168,23.1.1990,Full-time,0.0,Alumnus (Master's),Русский,university,False,False,0
169,14.6,Full-time,1.0,Alumnus (Bachelor's),Українська;Русский;English,university,False,False,0
170,13.2.1989,Distance Learning,4.0,Student (Specialist),Русский,university,False,False,0
171,23.7.1993,Full-time,7.0,Alumnus (Bachelor's),False,university,False,False,1
172,5.2,Full-time,0.0,Alumnus (Specialist),Русский,university,False,False,0
173,11.11.1990,Full-time,0.0,Alumnus (Master's),False,university,False,False,1
174,16.2.1971,Full-time,4.0,Alumnus (Specialist),Русский,university,False,False,1
175,2.9,Full-time,1.0,Alumnus (Specialist),Русский,work,2005,False,0
176,,Distance Learning,0.0,Alumnus (Specialist),Русский,university,False,False,0
177,6.8.1948,Full-time,4.0,Alumnus (Specialist),Русский,university,False,False,1
178,,Part-time,4.0,Alumnus (Specialist),False,university,False,False,0
179,15.8,Distance Learning,4.0,Alumnus (Specialist),False,work,2015,False,1
180,19.3.1984,Part-time,4.0,Student (Specialist),Русский,university,False,False,1
181,31.3,,4.0,Candidate of Sciences,Русский,,False,False,1
182,12.10.1990,Distance Learning,4.0,Student (Specialist),Русский,work,False,False,0
183,30.4.1990,Part-time,0.0,Alumnus (Specialist),Русский,university,False,False,0
184,1.7.1995,,4.0,Student (Master's),Русский;Deutsch;English;ภาษาไทย;Español,work,2020,False,1
185,30.8.1982,Full-time,4.0,Alumnus (Specialist),Русский,university,False,False,0
186,,Full-time,1.0,Student (Specialist),Русский;English;Français,work,2016,False,0
187,12.7,Full-time,7.0,Alumnus (Specialist),Русский;English,university,False,False,1
188,19.12.1995,Full-time,1.0,Student (Bachelor's),Українська;Русский,university,False,False,1
189,,Full-time,0.0,Student (Specialist),False,university,False,False,1
190,10.9,Full-time,1.0,Student (Bachelor's),Русский;English,work,2017,False,1
191,13.5.1985,,1.0,Alumnus (Master's),English;Русский,university,False,False,1
192,20.6.1995,,0.0,Student (Specialist),False,,False,False,1
193,17.6.1983,Full-time,1.0,Alumnus (Specialist),Русский;English,university,False,False,0
194,10.2,Full-time,0.0,Student (Specialist),False,university,False,False,1
195,14.10,Full-time,0.0,Alumnus (Bachelor's),Русский;English,university,2019,False,0
196,16.3.1986,Full-time,4.0,Alumnus (Bachelor's),Русский;Українська;Polski,work,2008,False,0
197,27.7,Full-time,0.0,Student (Specialist),Русский,work,False,False,1
198,22.3,Full-time,4.0,Student (Specialist),Русский,university,False,False,0
199,19.6,Full-time,1.0,Alumnus (Specialist),Русский,university,False,False,0
200,1.11,Full-time,0.0,Alumnus (Specialist),False,university,False,False,1
201,,Full-time,4.0,Alumnus (Bachelor's),Русский;English,work,2008,False,1
202,29.12,Full-time,1.0,Alumnus (Specialist),False,work,False,False,1
203,,Distance Learning,0.0,Alumnus (Specialist),False,university,False,False,1
204,15.5,,1.0,Alumnus (Specialist),Русский,university,False,False,1
205,22.3.1984,Full-time,4.0,Alumnus (Specialist),Русский,university,False,False,0
206,29.6,Full-time,1.0,Alumnus (Bachelor's),Русский;English,,False,False,1
207,,Full-time,7.0,Student (Bachelor's),Русский,work,False,False,1
208,22.6.1987,Full-time,4.0,Undergraduate applicant,False,university,False,False,0
209,19.4,Full-time,1.0,Alumnus (Master's),Русский,university,False,False,1
210,16.2.1987,Full-time,1.0,Alumnus (Specialist),False,university,2009,2016,1
211,30.10.1986,Distance Learning,4.0,Student (Specialist),False,work,2007,False,0
212,,Distance Learning,4.0,Alumnus (Bachelor's),False,work,False,False,1
213,23.1.1992,Full-time,1.0,Student (Specialist),Русский,university,False,False,1
214,1.8.1988,Full-time,8.0,Student (Specialist),Русский,work,2014,False,1
215,7.1.1989,Distance Learning,4.0,Alumnus (Specialist),False,work,2018,False,1
216,6.4.1996,Full-time,2.0,Alumnus (Bachelor's),Русский;Українська;English,university,False,False,1
217,23.7,Full-time,0.0,Alumnus (Specialist),Русский,,False,False,1
218,5.5.1991,Full-time,0.0,Student (Specialist),Русский;English,work,False,False,1
219,13.7.1983,Full-time,4.0,Alumnus (Specialist),Русский,university,False,False,0
220,9.9,Full-time,0.0,Alumnus (Master's),False,university,1980,1983,1
221,17.6,Full-time,0.0,Student (Bachelor's),Русский;English,university,False,False,1
222,,,0.0,Alumnus (Master's),False,university,False,False,1
223,12.9,Full-time,0.0,Alumnus (Specialist),Русский,university,False,False,1
224,7.10.1989,Full-time,4.0,Alumnus (Specialist),Русский,work,2009,False,1
225,19.11,Full-time,0.0,Candidate of Sciences,Српски;Deutsch;Español;日本語,work,2019,False,0
226,,Full-time,0.0,Alumnus (Specialist),Русский,university,False,False,1
227,,Full-time,4.0,Student (Specialist),Русский,university,False,False,1
228,13.7.1988,Full-time,1.0,Student (Specialist),False,university,False,False,1
229,25.12.1992,Full-time,4.0,Alumnus (Bachelor's),Русский;English;Español;Français,university,False,False,1
230,7.9,Full-time,7.0,Student (Bachelor's),Українська;English;Русский,university,False,False,1
231,,Full-time,0.0,Undergraduate applicant,False,university,False,False,1
232,16.3.1992,Full-time,0.0,Student (Specialist),False,university,False,False,0
233,3.11.1990,Full-time,4.0,Student (Specialist),False,university,False,False,0
234,24.4.1991,Full-time,1.0,Undergraduate applicant,Русский;Українська;Deutsch;English,work,2016,False,0
235,18.12.1991,Full-time,6.0,Alumnus (Specialist),Русский;English,university,2020,False,0
236,14.11,Full-time,0.0,Alumnus (Specialist),Русский;English;Հայերեն;Français,university,2019,2021,1
237,30.8.1994,Full-time,0.0,Student (Bachelor's),Русский,university,False,False,0
238,11.7.1989,Full-time,0.0,Student (Master's),Русский,work,2007,False,0
239,6.8,Full-time,4.0,Student (Specialist),Русский;English;Адыгэбзэ,university,False,False,0
240,,Full-time,0.0,Alumnus (Specialist),False,university,2007,2017,1
241,14.3.1990,Full-time,0.0,Alumnus (Bachelor's),False,university,False,False,1
242,20.5,Full-time,8.0,Student (Bachelor's),Українська;English;Русский;Polski;한국어,university,False,False,0
243,,,0.0,Alumnus (Specialist),Русский,work,2010,False,1
244,23.2,Full-time,0.0,Alumnus (Master's),Русский,work,2012,False,1
245,,Full-time,4.0,Alumnus (Master's),Русский,work,2010,False,1
246,28.7.1994,Full-time,0.0,Alumnus (Bachelor's),Русский,university,False,False,1
247,19.6.1988,,2.0,Student (Specialist),False,university,False,False,0
248,26.10,Full-time,0.0,Alumnus (Bachelor's),Русский;English,work,2005,2016,1
249,22.2,,0.0,Alumnus (Specialist),False,university,False,False,1
250,,Full-time,4.0,Alumnus (Specialist),Русский,university,False,False,1
251,15.11.1989,Full-time,4.0,Student (Specialist),Русский,work,2013,False,0
252,,Full-time,4.0,Student (Specialist),Русский,university,False,False,0
253,12.10.1993,Full-time,4.0,Student (Bachelor's),Русский,university,False,False,0
254,22.3,,1.0,Alumnus (Master's),Русский,university,False,False,1
255,10.3.1986,Full-time,1.0,Alumnus (Specialist),False,university,2008,False,1
256,4.7,Full-time,0.0,Alumnus (Specialist),Русский;English,university,False,False,1
257,12.4,Full-time,4.0,Alumnus (Master's),Русский,work,2004,False,1
258,20.8.1992,,0.0,Student (Master's),Русский;English;Deutsch;汉语,university,False,False,1
259,5.7.1990,Full-time,4.0,Student (Master's),Русский,university,False,False,0
260,14.4.1986,Distance Learning,4.0,Alumnus (Specialist),Русский,work,2009,False,1
261,11.1.1987,Part-time,0.0,Alumnus (Specialist),False,university,False,False,1
262,13.4.1993,,0.0,Alumnus (Specialist),Русский;Українська,university,False,False,1
263,13.8.1983,Full-time,0.0,Alumnus (Specialist),False,work,2000,False,1
264,22.7.1990,Distance Learning,6.0,Student (Specialist),Русский,university,2012,2017,0
265,25.11.1991,Distance Learning,1.0,Alumnus (Specialist),Русский;English,university,False,False,0
266,28.9.1995,Full-time,7.0,Student (Bachelor's),False,university,1995,2009,0
267,26.1.1989,Full-time,4.0,Alumnus (Specialist),Русский;English;Italiano,university,2012,2014,1
268,11.12.1979,Full-time,0.0,Alumnus (Master's),Русский,work,2004,False,1
269,,Full-time,0.0,Alumnus (Specialist),Русский,university,False,False,0
270,9.3,Full-time,0.0,Student (Master's),Русский,university,False,False,1
271,1.9.1982,Distance Learning,0.0,Student (Specialist),Русский,university,False,False,1
272,27.11.1987,Full-time,0.0,Alumnus (Specialist),Русский,work,2007,False,0
273,10.8.1990,Full-time,1.0,Student (Specialist),Русский,university,False,False,0
274,21.11,Full-time,7.0,Alumnus (Bachelor's),Русский;English;Українська,university,False,False,0
275,23.3,Full-time,0.0,Alumnus (Specialist),Русский,university,False,False,1
276,,Full-time,5.0,Alumnus (Specialist),Русский,university,False,False,1
277,29.3.1986,,0.0,Alumnus (Specialist),Русский;Українська;English,university,False,False,0
278,11.8,Full-time,1.0,Student (Specialist),Русский,work,2012,False,1
279,,Full-time,4.0,Alumnus (Master's),False,university,False,False,0
280,12.3,Full-time,4.0,Alumnus (Specialist),Русский,university,False,False,0
281,6.8.1992,Full-time,4.0,Student (Specialist),Русский,university,False,False,1
282,12.12,Full-time,4.0,Alumnus (Bachelor's),Русский,university,False,False,1
283,,Full-time,1.0,Alumnus (Specialist),False,university,False,False,1
284,14.10.1987,Full-time,0.0,Alumnus (Specialist),False,university,False,False,1
285,17.11.1978,Full-time,4.0,Alumnus (Specialist),False,university,False,False,0
286,29.5.1988,Full-time,4.0,Student (Specialist),Русский,university,False,False,1
287,31.7,Full-time,0.0,Candidate of Sciences,False,university,False,False,1
288,28.12,Full-time,4.0,Student (Bachelor's),Русский,work,2010,False,0
289,28.7.1990,Full-time,0.0,Student (Specialist),Русский,university,False,False,1
290,16.4.1992,Full-time,3.0,PhD,Русский,work,False,False,0
291,28.10.1995,Full-time,0.0,Alumnus (Specialist),Русский;English,university,False,False,1
292,2.2,Full-time,0.0,Student (Specialist),Русский;English;Lingua Latina;Deutsch,university,False,False,1
293,5.10,,1.0,Student (Master's),Русский,work,2007,False,0
294,,Full-time,0.0,Alumnus (Bachelor's),False,work,2007,False,0
295,26.11.1998,Full-time,0.0,Student (Bachelor's),Русский;Български,university,False,False,1
296,16.4,Part-time,4.0,Alumnus (Bachelor's),False,work,2016,False,1
297,20.4,,0.0,Alumnus (Specialist),Русский,work,False,False,0
298,,Full-time,0.0,Student (Specialist),False,university,False,False,0
299,31.5,Full-time,4.0,Alumnus (Specialist),False,work,2018,False,1
300,,Distance Learning,4.0,Student (Bachelor's),False,university,False,False,0
301,7.6,Part-time,7.0,Student (Bachelor's),Русский,university,False,False,0
302,15.12.1995,Full-time,4.0,Student (Bachelor's),Русский;English,work,False,False,1
303,26.10.1987,Full-time,1.0,Student (Specialist),Русский,university,False,False,1
304,27.2.1988,Part-time,0.0,Student (Bachelor's),Русский;English;汉语,work,False,False,1
305,,Full-time,0.0,Alumnus (Specialist),Русский,university,False,False,1
306,,,0.0,Alumnus (Specialist),Русский,university,False,False,1
307,22.6,Part-time,0.0,Alumnus (Specialist),False,university,False,False,1
308,11.6,Part-time,0.0,Student (Specialist),Русский,university,False,False,0
309,3.1,Full-time,0.0,Alumnus (Master's),Русский;English;Українська;Български;Español,university,False,False,1
310,13.2,,4.0,Alumnus (Specialist),False,university,False,False,1
311,15.6,Full-time,6.0,Alumnus (Bachelor's),Русский;Українська,university,2014,False,0
312,11.12.1987,Distance Learning,4.0,Undergraduate applicant,Русский,university,False,False,0
313,13.10,Full-time,4.0,Alumnus (Specialist),False,university,False,False,1
314,14.7,Full-time,0.0,Student (Bachelor's),Русский,university,False,False,0
315,7.2.1991,Full-time,0.0,Undergraduate applicant,Русский,work,2000,False,0
316,14.1,Distance Learning,7.0,PhD,False,work,2009,False,0
317,14.6.1991,Full-time,1.0,Student (Specialist),Русский,university,2012,2013,0
318,5.6.1992,Full-time,4.0,Alumnus (Bachelor's),Русский;English,university,False,False,1
319,22.2.1990,Full-time,4.0,Student (Bachelor's),Русский,university,False,False,0
320,9.7.1984,Full-time,1.0,Alumnus (Specialist),False,work,2009,False,1
321,,Full-time,0.0,Student (Specialist),Русский;Mande,university,False,False,0
322,,Full-time,0.0,Alumnus (Bachelor's),Русский,university,False,False,0
323,24.11.1992,Full-time,0.0,Student (Specialist),Русский,university,False,False,1
324,,Full-time,0.0,Student (Bachelor's),Русский,university,False,False,0
325,13.6.1989,Full-time,1.0,Student (Specialist),Русский,work,2011,False,0
326,16.12.1987,Full-time,4.0,Student (Specialist),Русский,work,2020,False,0
327,6.6,Full-time,0.0,Alumnus (Specialist),Русский;English;Українська,university,False,False,0
328,,Distance Learning,0.0,Alumnus (Specialist),False,university,False,False,0
329,30.4.1992,Full-time,0.0,Alumnus (Master's),Русский,university,False,False,1
330,,Full-time,4.0,Student (Bachelor's),Русский;Italiano;Українська,university,False,False,0
331,11.1.1990,Distance Learning,7.0,Alumnus (Specialist),Русский;English,university,False,False,0
332,,Full-time,0.0,Student (Bachelor's),Русский,university,False,False,1
333,10.1.1986,,4.0,Alumnus (Specialist),False,university,False,False,0
334,8.11.1987,Full-time,4.0,Candidate of Sciences,False,university,False,False,1
335,4.11.1991,Full-time,1.0,Alumnus (Specialist),Русский,work,2014,False,0
336,17.4.1967,Distance Learning,4.0,Alumnus (Specialist),Русский,work,1999,False,1
337,20.7.1986,Full-time,4.0,Alumnus (Specialist),Русский,university,False,False,0
338,29.3,Full-time,0.0,Student (Bachelor's),English;Русский;Italiano;Српски,university,False,False,1
339,2.8.1988,,0.0,Alumnus (Specialist),Русский,university,2014,2017,1
340,,,0.0,Alumnus (Specialist),Русский,university,False,False,0
341,,Full-time,0.0,Alumnus (Specialist),Русский,university,False,False,0
342,15.1.1985,Full-time,4.0,Alumnus (Bachelor's),Русский,work,False,False,0
343,5.6.1972,Distance Learning,4.0,Alumnus (Specialist),Русский,university,False,False,0
344,11.8.1998,Full-time,7.0,Alumnus (Bachelor's),Русский;Deutsch,university,False,False,1
345,12.8,Distance Learning,0.0,Student (Specialist),False,university,False,False,0
346,2.9.1963,Full-time,0.0,Alumnus (Specialist),Русский,university,False,False,1
347,,Distance Learning,4.0,Alumnus (Specialist),Русский,work,2007,False,0
348,,Full-time,0.0,Alumnus (Specialist),False,work,False,False,1
349,31.12.1995,Full-time,1.0,Student (Bachelor's),Русский;Հայերեն;English,university,False,False,1
350,4.5.1989,Full-time,4.0,Student (Specialist),False,,False,False,0
351,,Full-time,1.0,Alumnus (Specialist),Русский,work,2005,False,0
352,17.5.1986,Full-time,4.0,Alumnus (Bachelor's),False,university,False,False,0
353,10.10.1992,Full-time,0.0,Alumnus (Specialist),False,university,False,False,0
